INFO:root:Processed 0 repos
INFO:root:Cloning repo as it doesn't exist
DEBUG:git.cmd:Popen(['git', 'version'], cwd=/home/wpgbrown/CS4529/data_collection/git_blame, universal_newlines=False, shell=None, istream=None)
DEBUG:git.cmd:Popen(['git', 'clone', '-v', '--bare', '--progress', '--', 'https://gerrit.wikimedia.org/r/mediawiki%2Fextensions%2F3D.git', '/home/wpgbrown/CS4529/data_collection/raw_data/git_bare_repos/mediawiki-extensions-3D'], cwd=/home/wpgbrown/CS4529/data_collection/git_blame, universal_newlines=True, shell=None, istream=None)
DEBUG:root:Op code: 5, Current count: 1.0, Max count: , Progress done: 0, Message: 
DEBUG:root:Op code: 32, Current count: 1697.0, Max count: 2094.0, Progress done: 0, Message: 707.79 KiB | 125.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1718.0, Max count: 2094.0, Progress done: 0, Message: 707.79 KiB | 125.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1739.0, Max count: 2094.0, Progress done: 0, Message: 707.79 KiB | 125.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1759.0, Max count: 2094.0, Progress done: 0, Message: 707.79 KiB | 125.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1780.0, Max count: 2094.0, Progress done: 0, Message: 771.77 KiB | 120.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1782.0, Max count: 2094.0, Progress done: 0, Message: 835.75 KiB | 115.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1796.0, Max count: 2094.0, Progress done: 0, Message: 899.72 KiB | 112.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1801.0, Max count: 2094.0, Progress done: 0, Message: 899.72 KiB | 112.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1822.0, Max count: 2094.0, Progress done: 0, Message: 899.72 KiB | 112.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1843.0, Max count: 2094.0, Progress done: 0, Message: 899.72 KiB | 112.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1864.0, Max count: 2094.0, Progress done: 0, Message: 899.72 KiB | 112.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1869.0, Max count: 2094.0, Progress done: 0, Message: 963.70 KiB | 115.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1885.0, Max count: 2094.0, Progress done: 0, Message: 963.70 KiB | 115.00 KiB/s
